# META,public,LGE Pressure Sensor Non-wakeup,LGE,string_type=android.sensor.pressure,min_delay_us=40000,max_delay_us=1000000,resolution_hpa=0.0016
# META,unfiltered,LGE Unfiltered Pressure  Non-wakeup,Goertek,string_type=lge.sensor.lg_unfiltered_pressure,min_delay_us=31250,max_delay_us=1000000,resolution_hpa=0.01
source,timestamp_ns,pressure_hpa
unfiltered,668212683857992,981.79846191
public,668212653848982,981.79730225
unfiltered,668212715106950,981.79913330
public,668212693848982,981.79730225
unfiltered,668212746364502,981.79888916
public,668212733848982,981.79730225
public,668212773848982,981.79736328
unfiltered,668212777613461,981.79882813
unfiltered,668212808863721,981.79858398
unfiltered,668212840113669,981.79827881
public,668212813848982,981.79736328
public,668212853848982,981.79736328
unfiltered,668212871366377,981.79852295
public,668212893848982,981.79736328
unfiltered,668212902615805,981.79760742
unfiltered,668212933863982,981.79748535
public,668212933848982,981.79736328
unfiltered,668212965113200,981.79724121
unfiltered,668212996328721,981.79663086
public,668212973848982,981.79730225
unfiltered,668213027623617,981.79626465
public,668213013848982,981.79730225
unfiltered,668213058868409,981.79626465
public,668213053848982,981.79730225
unfiltered,668213090113721,981.79595947
public,668213093848982,981.79730225
unfiltered,668213121367888,981.79510498
unfiltered,668213152618200,981.79486084
public,668213133848982,981.79730225
unfiltered,668213183865544,981.79370117
public,668213173848982,981.79730225
unfiltered,668213215113721,981.79272461
public,668213213848982,981.79730225
unfiltered,668213246359555,981.79333496
unfiltered,668213277607732,981.79461670
public,668213253848982,981.79730225
unfiltered,668213308859034,981.79388428
public,668213293848982,981.79724121
unfiltered,668213340107471,981.79376221
public,668213333848982,981.79718018
unfiltered,668213371359555,981.79516602
unfiltered,668213402607732,981.79492188
public,668213373848982,981.79718018
unfiltered,668213433857992,981.79473877
public,668213413848982,981.79711914
unfiltered,668213465107992,981.79632568
public,668213453848982,981.79705811
unfiltered,668213496379034,981.79779053
public,668213493848982,981.79705811
unfiltered,668213527608565,981.79711914
unfiltered,668213558857940,981.79541016
public,668213533848982,981.79705811
unfiltered,668213590123096,981.79443359
public,668213573848982,981.79687500
unfiltered,668213621357523,981.79486084
public,668213613848982,981.79675293
unfiltered,668213652607211,981.79455566
public,668213653848982,981.79675293
unfiltered,668213683860596,981.79376221
public,668213693848982,981.79675293
unfiltered,668213715108252,981.79400635
unfiltered,668213746359034,981.79406738
public,668213733848982,981.79669189
unfiltered,668213777609919,981.79437256
public,668213773848982,981.79669189
unfiltered,668213808857211,981.79406738
unfiltered,668213840111898,981.79357910
public,668213813848982,981.79663086
unfiltered,668213871356690,981.79455566
public,668213853848982,981.79663086
unfiltered,668213902611950,981.79528809
public,668213893848982,981.79663086
unfiltered,668213933858513,981.79571533
public,668213933848982,981.79656982
unfiltered,668213965111638,981.79626465
unfiltered,668213996357471,981.79614258
public,668213973848982,981.79650879
public,668214013848982,981.79644775
unfiltered,668214027607523,981.79583740
public,668214053848982,981.79632568
unfiltered,668214058859815,981.79528809
unfiltered,668214090107732,981.79565430
public,668214093848982,981.79626465
unfiltered,668214121357732,981.79626465
unfiltered,668214152606950,981.79595947
public,668214133848982,981.79620361
public,668214173848982,981.79620361
unfiltered,668214183857992,981.79638672
unfiltered,668214215107263,981.79687500
public,668214213848982,981.79620361
unfiltered,668214246358252,981.79583740
unfiltered,668214277606742,981.79565430
public,668214253848982,981.79620361
unfiltered,668214308857992,981.79553223
public,668214293848982,981.79614258
unfiltered,668214340109086,981.79388428
public,668214333848982,981.79614258
unfiltered,668214371361065,981.79248047
unfiltered,668214402606950,981.79248047
public,668214373848982,981.79602051
unfiltered,668214433863721,981.79333496
public,668214413848982,981.79595947
public,668214453848982,981.79595947
unfiltered,668214465117367,981.79278564
unfiltered,668214496323930,981.79266357
public,668214493848982,981.79583740
unfiltered,668214527613721,981.79235840
unfiltered,668214558867627,981.79217529
public,668214533848982,981.79583740
public,668214573848982,981.79583740
unfiltered,668214590130909,981.79388428
unfiltered,668214621368148,981.79528809
public,668214613848982,981.79577637
unfiltered,668214652613982,981.79571533
unfiltered,668214683865805,981.79614258
public,668214653848982,981.79577637
unfiltered,668214715113721,981.79602051
public,668214693848982,981.79577637
unfiltered,668214746363461,981.79583740
public,668214733848982,981.79577637
unfiltered,668214777613982,981.79669189
public,668214773848982,981.79577637
unfiltered,668214808864242,981.79632568
unfiltered,668214840113721,981.79455566
public,668214813848982,981.79577637
public,668214853848982,981.79577637
unfiltered,668214871366325,981.79321289
unfiltered,668214902616325,981.79193115
public,668214893848982,981.79571533
public,668214933848982,981.79571533
unfiltered,668214933858773,981.79022217
unfiltered,668214965110648,981.79028320
unfiltered,668214996360075,981.79064941
public,668214973848982,981.79571533
unfiltered,668215027609607,981.79125977
public,668215013848982,981.79559326
unfiltered,668215058859815,981.79357910
public,668215053848982,981.79553223
unfiltered,668215090111898,981.79412842
unfiltered,668215121359815,981.79266357
public,668215093848982,981.79553223
unfiltered,668215152611638,981.79217529
public,668215133848982,981.79553223
unfiltered,668215183861898,981.79290771
public,668215173848982,981.79553223
public,668215213848982,981.79553223
unfiltered,668215215109815,981.79260254
unfiltered,668215246361638,981.79217529
unfiltered,668215277613252,981.79248047
public,668215253848982,981.79553223
unfiltered,668215308858513,981.79266357
public,668215293848982,981.79534912
unfiltered,668215340112471,981.79290771
public,668215333848982,981.79516602
unfiltered,668215371356950,981.79388428
unfiltered,668215402612419,981.79376221
public,668215373848982,981.79510498
unfiltered,668215433857471,981.79272461
public,668215413848982,981.79498291
unfiltered,668215465108825,981.79187012
public,668215453848982,981.79492188
unfiltered,668215496357263,981.79125977
public,668215493848982,981.79492188
unfiltered,668215527613461,981.79193115
unfiltered,668215558857523,981.79217529
public,668215533848982,981.79486084
unfiltered,668215590137680,981.79107666
public,668215573848982,981.79473877
public,668215613848982,981.79449463
unfiltered,668215621358044,981.79046631
unfiltered,668215652607732,981.79107666
unfiltered,668215683857992,981.79040527
public,668215653848982,981.79431152
unfiltered,668215715107471,981.79040527
public,668215693848982,981.79425049
unfiltered,668215746358305,981.79205322
public,668215733848982,981.79418945
unfiltered,668215777607992,981.79211426
public,668215773848982,981.79406738
unfiltered,668215808858773,981.79266357
unfiltered,668215840107211,981.79455566
public,668215813848982,981.79406738
unfiltered,668215871357784,981.79498291
public,668215853848982,981.79406738
unfiltered,668215902607523,981.79455566
public,668215893848982,981.79406738
unfiltered,668215933858252,981.79443359
public,668215933848982,981.79406738
unfiltered,668215965107732,981.79522705
public,668215973848982,981.79406738
unfiltered,668215996326794,981.79663086
unfiltered,668216027608252,981.79772949
public,668216013848982,981.79406738
unfiltered,668216058862940,981.79748535
public,668216053848982,981.79406738
unfiltered,668216090107471,981.79693604
unfiltered,668216121367367,981.79772949
public,668216093848982,981.79406738
unfiltered,668216152613982,981.79937744
public,668216133848982,981.79406738
unfiltered,668216183864763,981.79907227
public,668216173848982,981.79406738
unfiltered,668216215113982,981.79705811
public,668216213848982,981.79418945
unfiltered,668216246364242,981.79547119
unfiltered,668216277613721,981.79431152
public,668216253848982,981.79425049
public,668216293848982,981.79431152
unfiltered,668216308863721,981.79467773
unfiltered,668216340114242,981.79602051
public,668216333848982,981.79443359
unfiltered,668216371363461,981.79626465
unfiltered,668216402613721,981.79486084
public,668216373848982,981.79443359
public,668216413848982,981.79431152
unfiltered,668216433863721,981.79266357
unfiltered,668216465113982,981.79083252
public,668216453848982,981.79418945
public,668216493848982,981.79406738
unfiltered,668216496363200,981.79046631
unfiltered,668216527613721,981.78997803
public,668216533848982,981.79406738
unfiltered,668216558860075,981.78802490
unfiltered,668216590128825,981.78759766
public,668216573848982,981.79400635
unfiltered,668216621369190,981.78857422
public,668216613848982,981.79400635
unfiltered,668216652609815,981.78930664
unfiltered,668216683857784,981.79046631
public,668216653848982,981.79394531
unfiltered,668216715107992,981.79174805
public,668216693848982,981.79394531
unfiltered,668216746357471,981.79193115
public,668216733848982,981.79394531
unfiltered,668216777611482,981.79150391
public,668216773848982,981.79388428
unfiltered,668216808857471,981.79101563
unfiltered,668216840112680,981.79064941
public,668216813848982,981.79339600
public,668216853848982,981.79321289
unfiltered,668216871360127,981.79101563
unfiltered,668216902611377,981.79266357
public,668216893848982,981.79296875
public,668216933848982,981.79296875
unfiltered,668216933856950,981.79382324
unfiltered,668216965110336,981.79406738
unfiltered,668216996357471,981.79345703
public,668216973848982,981.79296875
unfiltered,668217027607732,981.79162598
public,668217013848982,981.79296875
unfiltered,668217058857732,981.78967285
public,668217053848982,981.79296875
unfiltered,668217090107471,981.79028320
public,668217093848982,981.79284668
unfiltered,668217121358305,981.79138184
unfiltered,668217152607002,981.79162598
public,668217133848982,981.79278564
unfiltered,668217183857732,981.79193115
public,668217173848982,981.79266357
public,668217213848982,981.79266357
unfiltered,668217215113721,981.79272461
unfiltered,668217246358513,981.79248047
unfiltered,668217277608773,981.79119873
public,668217253848982,981.79266357
unfiltered,668217308857992,981.79022217
public,668217293848982,981.79260254
unfiltered,668217340108513,981.79071045
public,668217333848982,981.79260254
unfiltered,668217371357784,981.79266357
unfiltered,668217402608044,981.79278564
public,668217373848982,981.79260254
unfiltered,668217433857784,981.79217529
public,668217413848982,981.79260254
unfiltered,668217465107523,981.79223633
public,668217453848982,981.79254150
unfiltered,668217496335752,981.79187012
public,668217493848982,981.79248047
unfiltered,668217527607471,981.79162598
public,668217533848982,981.79248047
unfiltered,668217558862419,981.79205322
unfiltered,668217590119502,981.79211426
public,668217573848982,981.79241943
unfiltered,668217621362211,981.79241943
public,668217613848982,981.79235840
unfiltered,668217652609086,981.79315186
unfiltered,668217683859867,981.79461670
public,668217653848982,981.79235840
unfiltered,668217715107732,981.79577637
public,668217693848982,981.79235840
unfiltered,668217746364502,981.79541016
public,668217733848982,981.79235840
unfiltered,668217777614242,981.79498291
public,668217773848982,981.79235840
unfiltered,668217808864763,981.79541016
unfiltered,668217840113200,981.79632568
public,668217813848982,981.79235840
unfiltered,668217871363721,981.79748535
public,668217853848982,981.79235840
public,668217893848982,981.79241943
unfiltered,668217902614555,981.79693604
public,668217933848982,981.79248047
unfiltered,668217933864555,981.79638672
unfiltered,668217965115023,981.79705811
unfiltered,668217996364711,981.79742432
public,668217973848982,981.79254150
public,668218013848982,981.79260254
unfiltered,668218027615023,981.79779053
unfiltered,668218058864502,981.79846191
public,668218053848982,981.79260254
unfiltered,668218090115284,981.79852295
public,668218093848982,981.79260254
unfiltered,668218121366325,981.79791260
public,668218133848982,981.79260254
unfiltered,668218152614763,981.79736328
unfiltered,668218183865075,981.79681396
public,668218173848982,981.79260254
unfiltered,668218215107211,981.79663086
public,668218213848982,981.79266357
unfiltered,668218246357992,981.79602051
public,668218253848982,981.79266357
unfiltered,668218277608044,981.79565430
unfiltered,668218308858252,981.79577637
public,668218293848982,981.79284668
unfiltered,668218340111586,981.79595947
public,668218333848982,981.79296875
unfiltered,668218371357992,981.79626465
unfiltered,668218402612107,981.79632568
public,668218373848982,981.79296875
unfiltered,668218433858461,981.79663086
public,668218413848982,981.79296875
unfiltered,668218465111377,981.79766846
public,668218453848982,981.79321289
public,668218493848982,981.79382324
unfiltered,668218496357732,981.79882813
unfiltered,668218527608461,981.79986572
unfiltered,668218558858513,981.80114746
public,668218533848982,981.79388428
public,668218573848982,981.79406738
unfiltered,668218590117888,981.80084229
unfiltered,668218621357471,981.79888916
public,668218613848982,981.79443359
unfiltered,668218652607211,981.79858398
public,668218653848982,981.79449463
unfiltered,668218683858252,981.79986572
unfiltered,668218715107940,981.80096436
public,668218693848982,981.79467773
unfiltered,668218746357732,981.80187988
public,668218733848982,981.79473877
unfiltered,668218777609034,981.80273438
public,668218773848982,981.79498291
unfiltered,668218808857471,981.80352783
public,668218813848982,981.79504395
unfiltered,668218840110023,981.80413818
public,668218853848982,981.79516602
unfiltered,668218871357471,981.80462646
unfiltered,668218902607471,981.80364990
public,668218893848982,981.79553223
public,668218933848982,981.79553223
unfiltered,668218933857992,981.80187988
unfiltered,668218965107992,981.80078125
unfiltered,668218996325284,981.80023193
public,668218973848982,981.79553223
unfiltered,668219027607992,981.79986572
public,668219013848982,981.79553223
unfiltered,668219058862732,981.79956055
public,668219053848982,981.79553223
unfiltered,668219090107732,981.79998779
public,668219093848982,981.79553223
unfiltered,668219121362680,981.79968262
unfiltered,668219152609607,981.79858398
public,668219133848982,981.79553223
